,fast,slow_mult,rsi_threshold,opt_leg1_dollar_from_atm,opt_leg2_dollar_from_leg1,stoploss_pct_of_maxprofit,pnl,model_num,day
155,20,3,70,5,10,1.0,-2913.199999999997,11,2025-03-14
156,20,3,70,5,10,1.0,10353.2,11,2025-03-21
157,20,3,70,5,10,1.0,-14648.399999999998,11,2025-03-28
158,30,3,70,5,10,0.1,-28529.39999999999,21,2025-04-04
159,30,3,70,5,10,0.1,-20538.60000000001,21,2025-04-11
160,30,3,70,5,10,0.1,-4110.800000000003,21,2025-04-25
161,20,3,70,2,10,0.5,-5789.999999999997,4,2025-05-02
162,20,3,70,2,10,0.5,13252.999999999998,4,2025-05-09
163,20,3,70,2,10,0.5,-2230.7999999999993,4,2025-05-16
164,20,3,70,2,10,0.5,21775.599999999995,4,2025-05-23
165,20,3,70,2,10,0.5,-24206.000000000007,4,2025-05-30
166,20,3,70,2,10,0.1,-7578.4,3,2025-06-06
167,20,3,70,2,10,0.1,-7120.199999999999,3,2025-06-13
168,20,3,70,2,10,0.1,-12309.599999999991,3,2025-06-20
169,20,3,70,2,10,0.1,-2137.1999999999994,3,2025-06-27
170,20,3,70,5,10,1.0,580.8,11,2025-07-11
171,20,3,70,5,10,1.0,4239.0,11,2025-07-18
172,20,3,70,5,10,1.0,580.8000000000001,11,2025-07-25
173,20,3,70,5,10,1.0,7231.2,11,2025-08-01
174,20,3,70,5,10,1.0,5945.8,11,2025-08-08
175,20,3,70,5,10,1.0,350.4000000000001,11,2025-08-15
176,20,3,70,5,10,1.0,17182.600000000002,11,2025-08-22
177,20,3,70,5,10,1.0,184.8,11,2025-08-29
178,20,3,70,2,5,0.1,8854.8,0,2025-09-05
179,20,3,70,2,5,0.1,-1828.2,0,2025-09-12
180,20,3,70,2,5,0.1,40855.2,0,2025-09-19
181,20,3,70,2,5,0.1,-29527.000000000007,0,2025-09-26
182,20,3,70,5,5,0.1,0.0,6,2025-10-03
183,20,3,70,5,5,0.1,-42064.2,6,2025-10-10
184,20,3,70,5,5,0.1,-7653.199999999997,6,2025-10-17
185,20,3,70,5,5,0.1,-982.7999999999992,6,2025-10-24
186,20,3,70,5,5,0.1,5023.2,6,2025-10-31
